Time	Fatigue_Val	PAM_Val	Stress_Val	Energy_Val	Pleasant_Val	Daylight	
2021-09-10 12:03:49.599397	Below_Avg	14	Neutral	Neutral	Neutral	Afternoon
2021-09-10 12:05:18.375074	Avg	3	Neutral	Neutral	S_Unpleasant	Afternoon
2021-09-10 12:56:42.248174	Below_Avg	4	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-10 13:27:00.550791	Low	2	Neutral	S_Low_Energy	Neutral	Afternoon
2021-09-10 13:57:10.866776	Low	7	V_Stressed	V_Low_Energy	V_Unpleasant	Afternoon
2021-09-10 14:27:53.702518	Low	4	V_Stressed	V_Low_Energy	V_Unpleasant	Afternoon
2021-09-10 15:49:56.612707	Avg	9	F_Good	Neutral	S_Pleasant	Afternoon
2021-09-10 16:20:29.427681	Avg	2	V_Stressed	V_Low_Energy	S_Unpleasant	Evening
2021-09-10 16:55:55.128698	Avg	5	Neutral	S_Low_Energy	Neutral	Evening
2021-09-10 18:42:03.300121	Avg	13	Neutral	Neutral	Neutral	Evening
2021-09-13 11:06:29.227572	Low	1	V_Stressed	V_Low_Energy	V_Unpleasant	Afternoon
2021-09-13 11:45:28.373148	Below_Avg	3	S_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 12:15:38.189376	Below_Avg	6	Neutral	Neutral	Neutral	Afternoon
2021-09-13 12:45:49.308191	Below_Avg	7	V_Stressed	S_Low_Energy	V_Unpleasant	Afternoon
2021-09-13 13:16:26.134198	Avg	3	V_Stressed	S_Low_Energy	V_Unpleasant	Afternoon
2021-09-13 13:46:44.525100	Avg	6	Neutral	Neutral	Neutral	Afternoon
2021-09-13 14:47:09.503601	Low	2	V_Stressed	V_Low_Energy	S_Unpleasant	Afternoon
2021-09-14 10:37:31.366183	Avg	1	Neutral	Neutral	Neutral	Morning
2021-09-14 11:07:57.898408	Below_Avg	9	Neutral	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-14 11:48:10.757580	Above_Avg	14	Neutral	Neutral	Neutral	Afternoon
2021-09-14 12:18:26.145007	Below_Avg	2	Neutral	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-14 12:51:12.732454	Above_Avg	3	F_Good	S_Energetic	S_Pleasant	Afternoon
2021-09-14 13:21:22.461270	Avg	8	Neutral	Neutral	Neutral	Afternoon
2021-09-14 13:51:33.284036	V_High	15	F_Great	Neutral	S_Pleasant	Afternoon
2021-09-14 14:21:45.013056	Low	2	V_Stressed	V_Low_Energy	V_Unpleasant	Afternoon
2021-09-14 14:51:51.961865	Below_Avg	2	S_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-14 15:30:29.102846	Above_Avg	10	F_Good	S_Energetic	S_Pleasant	Afternoon
2021-09-14 16:00:35.888716	Above_Avg	14	F_Good	Neutral	S_Pleasant	Evening
2021-09-14 16:30:44.502047	V_High	8	F_Good	Neutral	S_Pleasant	Evening
2021-09-14 17:00:53.393594	Below_Avg	8	Neutral	Neutral	Neutral	Evening
2021-09-14 17:31:03.494435	Above_Avg	8	S_Stressed	S_Low_Energy	S_Unpleasant	Evening
2021-09-14 18:01:10.586566	Below_Avg	7	S_Stressed	V_Low_Energy	V_Unpleasant	Evening
2021-09-14 18:31:29.749698	Low	2	V_Stressed	V_Low_Energy	V_Unpleasant	Evening
